City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,bluff,-46.6,168.3333,16.340000000000032,85,100,3.87,NZ,1675046694
66,erzin,36.9559,36.2,8.79000000000002,85,99,2.23,TR,1675046694
67,vardo,70.3705,31.1107,-0.009999999999990905,93,100,5.66,NO,1675046695
68,tabou,4.423,-7.3528,24.79000000000002,88,100,2.29,CI,1675046465
69,andenes,69.3143,16.1194,-0.009999999999990905,74,40,4.63,NO,1675046695
70,willowmore,-33.2926,23.4895,10.110000000000014,84,1,4.15,ZA,1675046696
71,ancud,-41.8697,-73.8203,15.879999999999995,92,55,1.45,CL,1675046696
72,bozhou,33.8772,115.7703,9.770000000000039,31,0,4.63,CN,1675046696
73,barstow,34.8986,-117.0228,9.550000000000011,70,46,8.88,US,1675046697
74,channel-port aux basques,47.5702,-59.1367,-3.2999999999999545,68,100,5.0,CA,1675046697
75,encarnacion,-27.3333,-55.9,27.29000000000002,70,40,2.06,PY,1675046594
76,riverton,40.5219,-111.9391,-4.1200000000000045,81,100,6.69,US,1675046412
77,tarut,26.5733,50.0369,12.110000000000014,45,8,4.3,SA,1675046698
78,yerbogachen,61.2767,108.0108,-15.17999999999995,97,99,1.71,RU,1675046698
79,kaihua,23.3687,104.28,12.660000000000025,51,1,2.31,CN,1675046698
80,rudbar,30.15,62.6,6.53000000000003,56,0,4.2,AF,1675046699
81,simbahan,6.3032,120.5836,27.180000000000007,77,90,3.27,PH,1675046699
82,iqaluit,63.7506,-68.5145,-37.14999999999998,67,40,1.03,CA,1675046699
83,sorong,-0.8833,131.25,26.74000000000001,84,98,3.84,ID,1675046700
84,lasa,46.6166,10.7002,-4.7999999999999545,46,9,2.13,IT,1675046700
85,virtsu,58.5716,23.5115,3.3600000000000136,91,100,11.1,EE,1675046701
86,puerto ayora,-0.7393,-90.3518,24.75,95,76,1.21,EC,1675046701
87,waddan,29.1614,16.139,6.850000000000023,38,0,1.07,LY,1675046701
88,qasigiannguit,68.8193,-51.1922,-6.859999999999957,69,100,4.48,GL,1675046702
89,cockburn town,21.4612,-71.1419,24.879999999999995,76,11,10.41,TC,1675046639
90,ulladulla,-35.35,150.4667,21.110000000000014,87,100,5.15,AU,1675046702
91,peniche,39.3558,-9.3811,6.920000000000016,70,6,4.84,PT,1675046703
92,butaritari,3.0707,172.7902,27.210000000000036,80,3,9.69,KI,1675046703
93,marshall,34.3834,-86.3333,11.370000000000005,92,100,2.06,US,1675046704
94,auki,-8.7676,160.7034,27.08000000000004,85,100,3.13,SB,1675046704
95,cedar city,37.6775,-113.0619,0.7800000000000296,69,100,3.09,US,1675046641
96,ippy,6.2679,21.2247,24.07000000000005,31,9,1.28,CF,1675046705
97,aitape,-3.1374,142.3475,29.49000000000001,69,84,2.44,PG,1675046705
98,chicama,-7.8447,-79.1469,20.30000000000001,72,79,2.01,PE,1675046706
99,iskateley,67.6803,53.1512,-12.149999999999977,94,97,6.22,RU,1675046706
100,namibe,-15.1961,12.1522,23.55000000000001,77,100,2.22,AO,1675046707
101,piacabucu,-10.4056,-36.4344,24.650000000000034,84,25,3.19,BR,1675046707
102,chokurdakh,70.6333,147.9167,-33.41999999999999,98,100,2.85,RU,1675046707
103,saint-pierre,-21.3393,55.4781,25.82000000000005,73,0,3.09,RE,1675046708
104,khanpur,28.6453,70.6567,10.870000000000005,55,0,4.49,PK,1675046708
105,saint-philippe,-21.3585,55.7679,25.77000000000004,78,100,1.09,RE,1675046709
106,ziezmariai,54.8,24.45,1.0500000000000114,95,100,8.01,LT,1675046709
107,lorengau,-2.0226,147.2712,29.04000000000002,72,26,2.04,PG,1675046709
108,tiksi,71.6872,128.8694,-37.72999999999999,98,76,2.24,RU,1675046710
109,mahebourg,-20.4081,57.7,25.700000000000045,94,20,1.54,MU,1675046710
110,makakilo city,21.3469,-158.0858,21.180000000000007,82,75,5.14,US,1675046711
111,victoria,22.2855,114.1577,17.920000000000016,35,5,4.02,HK,1675046533
112,vila velha,-20.3297,-40.2925,24.970000000000027,88,0,2.57,BR,1675046711
113,misratah,32.3754,15.0925,11.950000000000045,56,2,8.18,LY,1675046712
114,beringovskiy,63.05,179.3167,-1.7899999999999636,98,100,5.42,RU,1675046712
115,grand gaube,-20.0064,57.6608,25.77000000000004,90,100,2.39,MU,1675046712
116,kikwit,-5.041,18.8162,20.180000000000007,92,93,0.36,CD,1675046713
117,visby,57.6409,18.296,5.1200000000000045,81,100,11.83,SE,1675046713
118,narsaq,60.9167,-46.05,-9.879999999999995,71,100,3.74,GL,1675046713
119,olinda,-8.0089,-34.8553,27.850000000000023,65,40,3.6,BR,1675046714
120,souillac,-20.5167,57.5167,24.210000000000036,94,20,1.54,MU,1675046714
121,upernavik,72.7868,-56.1549,-18.779999999999973,69,88,1.9,GL,1675046715
122,giresun,40.5,38.5,-11.159999999999968,95,73,0.98,TR,1675046715
123,hasaki,35.7333,140.8333,10.160000000000025,52,18,3.53,JP,1675046716
124,natal,-5.795,-35.2094,26.360000000000014,78,40,5.14,BR,1675046506
125,ilulissat,69.2167,-51.1,-6.989999999999952,49,75,11.83,GL,1675046716
126,saint george,37.1041,-113.5841,9.410000000000025,40,100,2.68,US,1675046717
127,oum hadjer,13.2954,19.6966,24.75,14,47,4.29,TD,1675046717
128,okha,53.5739,142.9478,-22.47999999999999,84,64,7.35,RU,1675046717
129,torbay,47.6666,-52.7314,-3.4699999999999704,74,40,3.6,CA,1675046718
130,los llanos de aridane,28.6585,-17.9182,12.860000000000014,77,75,3.6,ES,1675046718
131,valdivia,-39.8142,-73.2459,16.05000000000001,97,19,0.67,CL,1675046719
132,north bend,43.4065,-124.2243,2.9500000000000455,72,0,3.09,US,1675046719
133,longyearbyen,78.2186,15.6401,-4.089999999999975,68,100,10.8,SJ,1675046720
134,kadambur,8.9833,77.8667,23.58000000000004,72,81,4.2,IN,1675046720
135,nuuk,64.1835,-51.7216,-3.9399999999999977,69,100,4.8,GL,1675046720
136,shuiji,27.4214,118.345,11.830000000000041,36,0,0.92,CN,1675046721
137,dingle,10.9995,122.6711,24.04000000000002,96,100,4.12,PH,1675046721
138,vao,-22.6667,167.4833,25.05000000000001,73,15,5.18,NC,1675046722
139,luganville,-15.5333,167.1667,29.27000000000004,73,100,1.17,VU,1675046722
140,rock sound,24.9,-76.2,24.720000000000027,73,4,8.9,BS,1675046722
141,siuna,13.7332,-84.7773,19.180000000000007,95,100,1.77,NI,1675046723
142,beyneu,45.3167,55.2,-3.2899999999999636,82,8,4.62,KZ,1675046723
143,inirida,3.8653,-67.9239,24.53000000000003,70,95,0.79,CO,1675046724
144,floro,61.5996,5.0328,3.8700000000000045,87,100,6.69,NO,1675046724
145,asfi,32.2994,-9.2372,9.220000000000027,68,0,4.62,MA,1675046598
146,kashi,39.4547,75.9797,-6.439999999999998,73,75,1.0,CN,1675046725
147,ola,59.5833,151.2833,-10.949999999999989,71,100,5.12,RU,1675046726
148,aloleng,16.1307,119.7824,27.30000000000001,58,12,4.1,PH,1675046726
149,yellowknife,62.456,-114.3525,-28.579999999999984,69,0,6.17,CA,1675046516
150,aflao,6.116,1.1914,27.07000000000005,89,20,2.06,TG,1675046726
151,katsuura,35.1333,140.3,8.930000000000007,49,6,6.71,JP,1675046727
152,bonoua,5.2741,-3.595,25.79000000000002,87,91,1.82,CI,1675046727
153,nasriganj,25.05,84.3333,17.510000000000048,40,100,0.54,IN,1675046728
154,adrar,20.5022,-10.0711,11.79000000000002,48,42,3.71,MR,1675046728
155,bonthe,7.5264,-12.505,24.370000000000005,92,54,1.9,SL,1675046729
156,qaanaaq,77.484,-69.3632,-25.099999999999966,71,31,2.56,GL,1675046729
157,cururupu,-1.8283,-44.8683,22.79000000000002,98,100,1.02,BR,1675046729
158,leningradskiy,69.3833,178.4167,-21.649999999999977,97,74,3.03,RU,1675046730
159,evensk,61.95,159.2333,-2.2899999999999636,87,98,17.08,RU,1675046730
160,kamenka,51.3223,42.7678,-4.25,97,100,3.5,RU,1675046731
161,faya,18.3851,42.4509,9.060000000000002,89,31,1.33,SA,1675046731
